Titre;Auteur;Lien
Vaccins : effets secondaires réels et imaginaires;Afis;https://www.afis.org/Vaccins-effets-secondaires-reels-et-imaginaires
Le rôle des lobbies anti-vaccin et les conséquences d’une fraude médicale;Afis;https://www.afis.org/Le-role-des-lobbies-anti-vaccin-et-les-consequences-d-une-fraude-medicale
Vaccin rougeole: L’affaire du docteur Andrew Wakefield : les faits;Afis;https://www.afis.org/L-affaire-du-docteur-Andrew-Wakefield-les-faits
Les sels d’aluminium dans les déodorants favorisent-ils les cancers du sein ?;INCa;https://leseclairages.e-cancer.fr/les-sels-daluminium-dans-les-deodorants-favorisent-ils-les-cancers-du-sein/
La chicha est-elle moins dangereuse que la cigarette ?;INCa;https://leseclairages.e-cancer.fr/la-chicha-est-elle-moins-dangereuse-que-la-cigarette/
Vaccination contre les HPV, le point sur les Infox !;INCa;https://leseclairages.e-cancer.fr/vaccination-contre-les-hpv-le-point-sur-les-infox/
Jeûner est-il bénéfique en cas de cancer ?;INCa;https://leseclairages.e-cancer.fr/jeuner-est-il-benefique-en-cas-de-cancer/
Manger « bio » permet-il de diminuer le risque de cancers ?;INCa;https://leseclairages.e-cancer.fr/manger-bio-permet-il-de-diminuer-le-risque-de-cancers/
Porter un soutien-gorge favorise-t-il le cancer du sein ?;INCa;https://leseclairages.e-cancer.fr/porter-un-soutien-gorge-favorise-t-il-le-cancer-du-sein/
La vaccination contre les virus HPV provoque-t-elle la sclérose en plaques ?;INCa;https://leseclairages.e-cancer.fr/la-vaccination-contre-les-virus-hpv-provoque-t-elle-la-sclerose-en-plaques/
Le dépistage du cancer du sein est-il inutile, voire néfaste ?;INCa;https://leseclairages.e-cancer.fr/le-depistage-du-cancer-du-sein-est-il-inutile-voire-nefaste/
Essais nucléaires et santé - Conséquences en Polynésie française;Inserm;https://www.inserm.fr/expertise-collective/essais-nucleaires-et-sante-consequences-en-polynesie-franc%CC%A7aise/
Pesticides et santé – Nouvelles données (2021);Inserm;https://www.inserm.fr/expertise-collective/pesticides-et-sante-nouvelles-donnees-2021/
Détox : info ou intox ?;Afis;https://www.afis.org/Detox-info-ou-intox
Mpox : démystifier les fausses idées avec l’Inserm;Inserm;https://presse.inserm.fr/canal-detox/mpox-demystifier-les-fausses-idees-avec-linserm/
Des techniques miracles pour récupérer plus vite après l’effort et tenir toute la durée des JO, vraiment ?;Inserm;https://presse.inserm.fr/canal-detox/des-techniques-miracles-pour-recuperer-plus-vite-apres-leffort-et-tenir-toute-la-duree-des-jo-vraiment/
Bien s’étirer pour lutter contre les courbatures, vraiment ?;Inserm;https://presse.inserm.fr/canal-detox/bien-setirer-pour-lutter-contre-les-courbatures-vraiment/
Faire de l’activité physique pour lutter contre le cancer… Vraiment ?;Inserm;https://presse.inserm.fr/canal-detox/faire-de-lactivite-physique-pour-lutter-contre-le-cancer-vraiment/
Consommer plus de protéines quand on pratique du sport à haut niveau, vraiment ?;Inserm;https://presse.inserm.fr/canal-detox/consommer-plus-de-proteines-quand-on-pratique-du-sport-a-haut-niveau-vraiment/
Faire du sport pour perdre du poids, vraiment ?;Inserm;https://presse.inserm.fr/canal-detox/faire-du-sport-pour-perdre-du-poids-vraiment/
Mincir grâce aux médicaments « coupe-faim », vraiment ?;Inserm;https://presse.inserm.fr/canal-detox/mincir-grace-aux-medicaments-coupe-faim-vraiment/
L’anxiété, « juste une question de stress », vraiment ?;Inserm;https://presse.inserm.fr/canal-detox/lanxiete-juste-une-question-de-stress-vraiment/
Le collagène pour soulager les douleurs, vraiment ?;Inserm;https://presse.inserm.fr/canal-detox/le-collagene-pour-soulager-les-douleurs-vraiment/
Jeûner pour lutter contre le cancer, vraiment ?;Inserm;https://presse.inserm.fr/canal-detox/jeuner-pour-lutter-contre-le-cancer-vraiment/
Le cerveau des hommes, différent de celui des femmes, vraiment ?;Inserm;https://presse.inserm.fr/canal-detox/le-cerveau-des-hommes-different-de-celui-des-femmes-vraiment/
La « malbouffe » une cause de dépression, vraiment ?;Inserm;https://presse.inserm.fr/canal-detox/la-malbouffe-une-cause-de-depression-vraiment/
C’est normal d’avoir mal pendant les règles, vraiment ?;Inserm;https://presse.inserm.fr/canal-detox/cest-normal-davoir-mal-pendant-les-regles-vraiment/
Les infections fongiques, la nouvelle pandémie, vraiment ?;Inserm;https://presse.inserm.fr/canal-detox/les-infections-fongiques-la-nouvelle-pandemie-vraiment/
Des applications smartphones pour se protéger des moustiques, vraiment ?;Inserm;https://presse.inserm.fr/canal-detox/des-applications-smartphones-pour-se-proteger-des-moustiques-vraiment/
Des compléments alimentaires pour “préparer” sa peau au bronzage, vraiment ?;Inserm;https://presse.inserm.fr/canal-detox/des-complements-alimentaires-pour-preparer-sa-peau-au-bronzage-vraiment/
De nouveaux médicaments pour lutter contre la résistance aux antibiotiques, vraiment ?;Inserm;https://presse.inserm.fr/canal-detox/de-nouveaux-medicaments-pour-lutter-contre-la-resistance-aux-antibiotiques-vraiment/
Diagnostiquer l’endométriose avec un test salivaire, vraiment ? Un point sur les nouvelles données;Inserm;https://presse.inserm.fr/canal-detox/diagnostiquer-lendometriose-avec-un-test-salivaire-vraiment-un-point-sur-les-nouvelles-donnees/
FIV : des interrogations sur la santé à long terme, vraiment ?;Inserm;https://presse.inserm.fr/canal-detox/interrogations-sur-la-sante-a-long-terme-vraiment/
La cohérence cardiaque, une technique pour améliorer sa santé, vraiment ?;Inserm;https://presse.inserm.fr/canal-detox/la-coherence-cardiaque-une-technique-pour-ameliorer-sa-sante-vraiment/
Les psychédéliques, des traitements contre les troubles psychiatriques, vraiment ?;Inserm;https://presse.inserm.fr/canal-detox/les-psychedeliques-des-traitements-contre-les-troubles-psychiatriques-vraiment/
Le vaccin contre le papillomavirus seulement pour les filles, vraiment ?;Inserm;https://presse.inserm.fr/canal-detox/le-vaccin-contre-le-papillomavirus-seulement-pour-les-filles-vraiment/
Des régimes miracles contre la migraine, vraiment ?;Inserm;https://presse.inserm.fr/canal-detox/des-regimes-miracles-contre-la-migraine-vraiment/
L’EMDR pour traiter le stress post-traumatique, vraiment ?;Inserm;https://presse.inserm.fr/canal-detox/lemdr-pour-traiter-le-stress-post-traumatique-vraiment/
Une « dette immunitaire » causée par les mesures barrières, vraiment ?;Inserm;https://presse.inserm.fr/canal-detox/une-dette-immunitaire-causee-par-les-mesures-barrieres-vraiment/
La vitamine C, traitement miracle contre le rhume vraiment ?;Inserm;https://presse.inserm.fr/canal-detox/la-vitamine-c-traitement-miracle-contre-le-rhume-vraiment/
Des applications pour contrôler la fertilité, vraiment ?;Inserm;https://presse.inserm.fr/canal-detox/des-applications-pour-controler-la-fertilite-vraiment/
Identifier le haut potentiel intellectuel avec un test sur Internet, vraiment ?;Inserm;https://presse.inserm.fr/canal-detox/identifier-le-haut-potentiel-intellectuel-avec-un-test-sur-internet-vraiment/
Le QI, une mesure fiable de l’intelligence vraiment ?;Inserm;https://presse.inserm.fr/canal-detox/le-qi-une-mesure-fiable-de-lintelligence-vraiment/
Les régimes intermittents, plus efficaces pour la perte de poids, vraiment ?;Inserm;https://presse.inserm.fr/canal-detox/les-regimes-intermittents-plus-efficaces-pour-la-perte-de-poids-vraiment/
