Principe actif;Classe;Galénique;Galéniques alternatives;Préparation;Goût;Administration du médicament modifié;Informations;Sources;Autres sources;Réponses des laboratoires;Date
ABACAVIR / DOLUTEGRAVIR / LAMIVUDINE 600/50/300 mg (Triumeq);Antiviraux pour le traitement des infections au VIH en association;Comprimé;"Abacavir et Lamivudine solutions buvables, Dolutégravir comprimés dispersibles
⚠ Adaptation posologique ⚠";Ne pas écraser ni croquer;;;La biodisponibilité des comprimés dispersibles de Dolutegravir est 1,6 fois supérieure à celle des comprimés pelliculés.;Notice patient;Ecrasable selon HUG 03/2023;;2023-04-18
ABACAVIR / LAMIVUDINE / ZIDOVUDINE 300/150/300 mg (Trizivir);Antiviraux pour le traitement des infections au VIH en association;Comprimé ;Solutions buvables;Ne pas écraser ni croquer;;;A prendre de préférence au coucher.;Notice patient;Ecrasable selon HUG 03/2023;GSK 20-03-2023 : écrasement déconseillé car pas d'étude;2023-04-18
ABACAVIR / LAMIVUDINE 600/300 mg (Kivexa);Antiviraux pour le traitement des infections au VIH en association;Comprimé;Solutions buvables;Ne pas écraser ni croquer;;;;Notice patient;;GSK 20-03-2023 : écrasement déconseillé car pas d'étude;2023-04-18
ABACAVIR 300 mg (Ziagen);Inhibiteurs de la transcriptase inverse nucléosidique et nucléotidique;Comprimé;Solution buvable;Écrasement possible;;Prise possible avec de l’eau<br>Prise possible avec un jus d’orange<br>Prise possible avec du lait<br>Prise possible avec de la compote<br>Prise possible avec un yaourt<br>Prise immédiate après préparation<br>;Mélangeable à une petite quantité de nourriture ou de liquide. Administration immédiate.;Notice patient;Ecrasable selon HUG 03/2023;;2023-04-18
ABEMACICLIB 50, 100 et 150mg (Verzenios);Inhibiteurs de protéine kinase;Comprimé;Non;Ne pas écraser ni croquer;Goût désagréable;Prise possible avec de l’eau<br>Prise immédiate après préparation<br>;A prendre à heure fixe. Eviter le jus de pamplemousse.;RCP;Dispersible selon le laboratoire;LILLY 15-05-2024 : peut être dispersé (sans l'écraser) dans 10mL d'eau, boire l'entièreté du verre dans les 10min, rincer et boire l'eau de rinçage tant qu'il reste des résidus sur la paroi. ;2024-05-16
ACAMPROSATE 333 mg (Aotal);Médicaments utilisés en cas de dépendance à l'alcool;Comprimé GR;Non;Ne pas écraser ni croquer;;;A prendre de préférence en dehors des repas si bonne tolérance digestive.;Notice patient;;;2023-04-18
ACARBOSE 50 et 100 mg (Glucor);Inhibiteurs de l'α-glucosidase;Comprimé ou comprimé sécable;Non;Écrasement possible;;Prise possible avec de l’eau<br>;Doit être avalé avec un peu d'eau ou croqué. A prendre au début des repas.;RCP;;;2023-04-18
ACEBUTOLOL 200 et 400 mg (Sectral);Bêta-bloquants sélectifs;Comprimé;Solution buvable;Ne pas écraser ni croquer;Goût désagréable;;;Notice patient;;;2023-04-18
ACEBUTOLOL LP 500 mg (Sectral LP);Bêta-bloquants sélectifs;Comprimé LP;"⚠ Non LP ⚠
Solution buvable";Ne pas écraser ni croquer;Goût désagréable;;;RCP;;;2023-04-18
ACENOCOUMAROL 1 et 4 mg (Mini-sintrom, Sintrom);Antivitamines K;Comprimé sécable;Non;Ne pas écraser ni croquer;;;A prendre à heure fixe, de préférence le soir.;RCP;Ecrasable selon HUG 03/2023;;2023-04-18
ACETAZOLAMIDE 250 mg (Diamox);Inhibiteurs de l'anhydrase carbonique;Comprimé sécable;Non;Ne pas écraser ni croquer;Goût désagréable;;A prendre de préférence pendant les repas pour masquer l'amertume.;Réponse laboratoire;Ecrasable selon HUG 03/2023;Cooper 22-03-2022 : écrasement déconseillé car pas d'étude;2023-04-18
