"Agglomération";"Hôpital";"Adresse";"Ouverture";"Téléphone";"Commentaire"
"Bordeaux";"Hôpital Pellegrin";"Pl. Amélie Léon - 33000 Bordeaux";"24/7";"05 56 79 56 79";""
"Charleville-Mézières";"Centre Ophtalmo. Bérégovoy";"18 rue Bérégovoy - 08000 Charlevilles-Mézières";"lun-jeu 9:30-17:30";"";"Par mail urgence@cob-ophtalmo.frCHU Reims en dehors des horaires"
"Dunkerque";"CH de Dunkerque - Urgences";"130 av. Louis Herbeaux - 59240 Dunkerque";"24/7";"03 28 28 59 00";""
"Hyères";"Ophtalmologie Var";"3 Rue Brest - 83400 Hyères";"Journée";"04 94 65 31 41";""
"Le Havre";"Centre Alliance Vision";"207 bd de Strasbourg - 76600 Le Havre";"8:30-19:30";"02 78 93 50 50";""
"Le Mans";"CH Le Mans - Bâtiment Fontenoy";"194 av. Rubillard - 72037 Le Mans";"lun-ven 8:30-18:00";"02 43 43 43 21";"Urgences en dehors des horaires"
"Lille";"Hôpital Huriez";"2 av. Oscar Lambret - 59000 Lille";"24/7";"03 20 44 59 62";""
"Lyon";"Hôpital de la Croix-Rousse - Bât. R";"103 Gde Rue de la Croix-Rousse - 69004 Lyon";"lun-ven 8:00-17:00";"04 26 10 91 28";"Aller aux consultations"
"Lyon";"Hôpital Edouart Herriot: Pavillon C";"5 pl. d’Arsonval - 69003 Lyon";"24/7";"04 72 11 62 33";""
"Marseille";"Hôpital Nord - Pavillon Mistral - 2e étage";"Chemin des Bourrely - 13015 Marseille";"24/7";"04 91 96 44 44";"Après 17h/WE/JF; aller aux Urgences adultes"
"Marseille";"Hôpital de la Timone";"264 Rue Saint-Pierre - 13005 Marseille";"lun-ven 8:00-16:45";"04 91 38 54 68";"Hôpital Nord Urgences adultes en dehors des horaires"
"Melun";"Centre Opth. du Pr Dighiero";"96 bis de la Grande Rue - 77022 Barbizon";"lun-ven journée";"01 60 66 14 26";"Appeler avant"
"Montpellier";"Hôpital Gui de Chauliac - RDC";"80 avenue Augustin Fliche - 34090 Montpellier";"24/7";"04 67 33 77 90";""
"Montpellier";"Clinique Saint-Roch - SOS Rétine Urgences";"560 av. du Colonel Pavelet - 34000 Montpellier";"24/7";"04 67 60 03 40";""
"Montpellier";"Chirurgie Myopie Montpellier";"9 rue de la République - 34000 Montpellier";"lun-ven 8:30-19:00";"04 67 92 48 08";""
"Nantes";"Hôtel Dieu - Aile Nord - 6e étage";"1 pl. Alexis-Ricordeau - 44000 Nantes";"lun-ven 8:30-18:00";"02 40 08 33 33";"Urgences en dehors des horaires"
"Nice";"Hôpital Pasteur 2 - Zone C; Niveau 1";"30 av. de la Voie Romaine - 06000 Nice";"24/7";"04 92 03 37 37";"+16 ans uniquement; sinon CHU-Lenval"
"Nice";"CHU Lenval";"57 av. de la Californie - 06200 Nice";"24/7";"04 92 03 03 92";"&lt; 16 ans uniquement; sinon Hôpital Pasteur 2"
"Nice";"Ophta-Nice";"21 rue de France - 1er étage - 06000 Nice";"24/7";"04 93 27 22 39";""
"Orléans";"CHR Orléans: La Source";"14 av. de l’Hôpital - 45100 Orléans";"lun-ven 8:30-17:30";"02 38 74 43 77";"Courrier obligatoire"
"Paris";"Quinze-Vingts - Porte 9";"28 rue de Charenton - 75012 Paris";"24/7";"01 40 02 16 80";""
