Organisation;Abréviation;Spécialité;Type;Actualités;RSS;Publications ouvertes;Publications RSS;Social
Société Francophone de Tabacologie;SFT;addictologie;societe savante;http://societe-francophone-de-tabacologie.fr/actualites/;http://societe-francophone-de-tabacologie.fr/feed/;http://societe-francophone-de-tabacologie.fr/documents-sft/;No;No
Fédération française d'addictologie;FFAddictologie;addictologie;societe savante;https://www.addictologie.org/blog/;No;https://www.addictologie.org/documents/recommandations/;No;https://x.com/FFAddictologie
Alliance contre le tabac;AllTabac;addictologie;association;https://alliancecontreletabac.org/espace-presse/;https://alliancecontreletabac.org/feed/;No;No;https://x.com/FranceSANStabac
Société Française d'Alcoologie;SFA;addictologie;societe savante;https://sfalcoologie.fr;No;https://sfalcoologie.fr/recommandations-sfa/;No;https://x.com/SFAlcoologie
Alcoologie Addictologie;Alcoologie Addictologie;addictologie;revue;No;No;No;No;No
Comité National Contre le Tabagisme;CNCT;addictologie;association;https://cnct.fr/les-actualites/;https://cnct.fr/feed/?post_type=actualites;No;No;https://x.com/le_cnct
Association Nationale de Prévention en Alcoologie et Addictologie;ANPA;addictologie;association;https://www.anpaa.asso.fr/lanpaa/actualites;No;https://www.anpaa.asso.fr/sinformer/collection-reperes-pour-les-professionnels;No;https://x.com/anpaa_asso
Société Française d'Allergologie;SFA;allergologie;societe savante;https://sfa.lesallergies.fr/actualites/;https://sfa.lesallergies.fr/feed/;No;No;No
Asthme et Allergies;Asthme & Allergies;allergologie;association;https://asthme-allergies.org;https://asthme-allergies.org/feed/;https://asthme-allergies.org/professionnels-de-sante/;No;https://x.com/asthmeallergies
Société Française d'Étude et de Traitement de la Douleur;SFETD;algologie;societe savante;https://www.sfetd-douleur.org/actualites-2/;https://www.sfetd-douleur.org/feed/;https://www.sfetd-douleur.org/recos-et-referentiels/;No;https://x.com/sfetd_douleur
Association Interdisciplinaire post-Universitaire de Sexologie;AIUS;andrologie;societe savante;https://aius.fr/blog/;No;No;No;https://x.com/AIUS_fr
Société française de Dermatologie;SFDermato;dermatologie;societe savante;https://www.sfdermato.org/page-3-actualites;No;https://www.sfdermato.org/page-24-recommandations;No;https://x.com/SFDermatologie
Société Française de Dermatologie Pédiatrique;SFDP;dermatologie;societe savante;https://sfdp.org/actus.php?id=1;No;No;No;https://x.com/SDermatopedia
European academy of dermatology venerology;EADV;dermatologie;societe savante;https://eadv.org/about-eadv/latest-news-and-updates/;https://eadv.org/feed/;https://eadv.org/publications/clinical-guidelines/;No;https://x.com/eadv
European Association of Dermato-Oncology;EADO;dermatologie;societe savante;https://eado.org/news/;https://eado.org/feed/;https://eado.org/european-guidelines/;No;No
European Dermatology Forum;EDF;dermatologie;societe savante;https://www.edf.one/en/news;No;https://guidelines.edf.one//edf-guidelines-and-consensus-statements;No;https://x.com/EDFDermatology
Société Francophone du Diabète;SFD;endocrinologie;societe savante;https://www.sfdiabete.org/actualites;No;https://www.sfdiabete.org/recommandations/referentiels;No;https://x.com/sfdiabete
European Society of Endocrinology;ESE;endocrinologie;societe savante;https://www.ese-hormones.org/news/;No;https://www.ese-hormones.org/publications/guidelines/;No;https://x.com/esendocrinology
European Association for the Study of Diabetes;EASD;endocrinologie;societe savante;https://www.easd.org;No;https://www.easd.org/guidelines/statements-and-guidelines.html;No;https://x.com/EASDnews
Diabetologia;Diabetologia;endocrinologie;revue;https://diabetologia-journal.org;No;https://link.springer.com/journal/125/volumes-and-issues;https://diabetologia-journal.org/feed/;https://x.com/DiabetologiaJnl
Société Française d'Endocrinologie;SFE;endocrinologie;societe savante;https://www.sfendocrino.org;https://www.sfendocrino.org//feed;https://www.sfendocrino.org/recommandations-et-consensus/;No;https://x.com/sfendocrino
Fédération Française des Diabétiques;FFD;endocrinologie;association de patients;https://www.federationdesdiabetiques.org/federation/actualites;No;https://www.federationdesdiabetiques.org/federation/positions;No;https://x.com/FederationAFD
Aide aux Jeunes Diabétiques;AJD;endocrinologie;association;https://www.ajd-diabete.fr/actualites/;https://www.ajd-diabete.fr/feed/;No;No;https://x.com/AJDdiabete
American Diabetes Association;ADA;endocrinologie;societe savante;https://professional.diabetes.org;No;https://care.diabetesjournals.org/content/current;No;https://x.com/ADA_DiabetesPro
Association française d'Étude et de Recherche sur l'Obésité;AFERO;endocrinologie;societe savante;https://www.afero.fr;No;No;No;https://x.com/afero_obesite
European Thyroid Association;ETA;endocrinologie;societe savante;https://www.eurothyroid.com/news-list.html;No;https://www.eurothyroid.com/guidelines/eta_guidelines.html;No;https://x.com/ETA_Thyroid
Association Francophone de Chirurgie Endocrinienne;AFCE;endocrinologie;societe savante;https://afce-chirurgie-endocrinienne.com;https://afce-chirurgie-endocrinienne.com/feed/;No;No;No
European Association for the Study of Obesity;EASO;"endocrinologie;nutrition";societe savante;https://easo.org/blog/;No;https://easo.org/education/guidelines/;No;https://x.com/easoobesity
Société Française de Nutrition;SFN;"endocrinologie;diabetologie;nutrition";societe savante;https://sf-nutrition.fr;https://sf-nutrition.fr/feed/;No;No;https://x.com/SFNutrition_Fr
Société Francophone Nutrition Clinique et Métabolisme;SFNCM;"endocrinologie;nutrition";societe savante;https://www.sfncm.org;https://www.sfncm.org/?format=feed&type=rss;https://www.sfncm.org/outils-education/recommandations/referentiels;No;https://x.com/nut_clinique
European Society for Clinical Nutrition and Metabolism;ESPEN;nutrition;societe savante;https://www.espen.org;No;https://www.espen.org/guidelines-home/espen-guidelines;No;No
Société Française de Cardiologie;SFC;cardiologie;societe savante;https://sfcardio.fr/actualites;No;https://sfcardio.fr/nos-publications;No;https://x.com/sfcardio
Société Française d'Hypertension Artérielle;SFHTA;cardiologie;societe savante;https://www.sfhta.eu/les-incontournables/;https://www.sfhta.eu/feed/;https://www.sfhta.eu/recommandations-de-la-sfhta/;No;https://x.com/sfhta
Collège National des Cardiologues Français;CNCF;cardiologie;societe savante;https://www.cncf.eu/?pageID=cncf_actu_sci;No;No;No;https://x.com/CNCFCardio
European Society of Cardiology;ESC;cardiologie;societe savante;https://www.escardio.org;No;https://www.escardio.org/Guidelines/Clinical-Practice-Guidelines;No;https://x.com/escardio
European Society of Hypertension;ESH;cardiologie;societe savante;https://www.eshonline.org/;https://www.eshonline.org//feed;https://www.eshonline.org/;No;https://x.com/eshypertension
American Heart Association;AHA;cardiologie;societe savante;https://www.heart.org/en/news;No;https://professional.heart.org/en/guidelines-statements;No;https://x.com/American_Heart
American College of Cardiology;ACC;cardiologie;societe savante;https://www.acc.org/latest-in-cardiology/#sort=%40fcommonsortdate90022%20descending;https://www.acc.org/Feed/LatestCardiology?topicID=8d7f3960-0beb-4a23-b87d-661262d0bb4f;https://www.acc.org/education-and-meetings/products-and-resources/guideline-education;No;https://x.com/accintouch
International Society of Hypertension;ISH;cardiologie;societe savante;https://ish-world.com/publications-and-press-releases/;No;https://ish-world.com/ish-global-hypertension-practice-guidelines/;No;https://x.com/ishbp
Société Française Neuro-Vasculaire;SFNV;"cardiologie; neurologie";societe savante;https://www.societe-francaise-neurovasculaire.fr/actualites-sfnv;https://www.societe-francaise-neurovasculaire.fr/blog-feed.xml;https://www.societe-francaise-neurovasculaire.fr/preconisations-sfnv;No;https://x.com/la_SFNV
European Heart Journal;EHJ;cardiologie;revue;https://academic.oup.com/eurheartj;No;https://academic.oup.com/eurheartj/issue;No;https://x.com/ESC_journals
Nouvelle Société Francophone d'Athérosclérose;NSFA;cardiologie;societe savante;https://www.nsfa.asso.fr;No;https://www.nsfa.asso.fr/professionnels-cat/recommandations/;No;No
European Stroke Organisation;ESO;vasculaire;societe savante;https://eso-stroke.org;https://eso-stroke.org/feed/;;No;https://x.com/ESOstroke
Société Française de Médecine Vasculaire;SFMV;vasculaire;societe savante;https://www.portailvasculaire.fr/espace-sfmv/actualites;https://www.portailvasculaire.fr/espace-sfmv/news-rss;https://www.portailvasculaire.fr/documents/recommandations-et-standards-de-qualite;No;https://x.com/lasfmv
Société Française d'hématologie;SFH;hematologie;societe savante;https://sfh.hematologie.net/actualites;No;https://sfh.hematologie.net/professionnel/referentiels;No;https://x.com/sfhemato
Groupe Français d'études sur l'Hémostase et la Thrombose;GFHT;hematologie;societe savante;https://site.geht.org/actualites/;No;https://site.geht.org/docutheque/;https://site.geht.org/docutheque/feed/;https://x.com/GFHT_Hemostase
Société Nationale Française de Gastro-Entérologie;SNFGE;hepato-gastro-enterologie;societe savante;https://www.snfge.org/actualites;No;https://www.snfge.org/bibliotheque-scientifique;No;https://www.facebook.com/SNFGE-Soci%C3%A9t%C3%A9-Nationale-Fran%C3%A7aise-de-Gastro-Ent%C3%A9rologie-843172139124489/?fref=ts
Association Française pour l'Étude du Foie;AFEF;hepato-gastro-enterologie;societe savante;https://afef.asso.fr/actualite/;https://afef.asso.fr/feed/;https://afef.asso.fr/recommandations/recommandations-afef/;No;https://x.com/AFEFoie
Société Française d'Endoscopie Digestive;SFED;hepato-gastro-enterologie;societe savante;https://www.sfed.org/actualites;No;https://www.sfed.org/recommandations-recherche;No;https://x.com/sfed_endoscopie
European Society of Gastrointestinal Endoscopy;ESGE;hepato-gastro-enterologie;societe savante;https://www.esge.com;https://www.esge.com/feed/;https://www.esge.com/publications/guidelines/;No;https://x.com/ESGE_news
Groupe d'Études Français des Helicobacter;GEFH;hepato-gastro-enterologie;societe savante;https://www.helicobacter.fr;https://www.helicobacter.fr/feed/;https://www.helicobacter.fr/acces-aux-professionnels-de-la-sante/documents-et-telechargements/;No;No
European Society of Coloproctology;ESCP;hepato-gastro-enterologie;societe savante;https://www.escp.eu.com/news;https://www.escp.eu.com/news?format=feed&type=rss;https://www.escp.eu.com/guidelines/published-collaborative-escp-guidelines-projects;No;
European Society for Paediatric Gastroenterology, Hepatology and Nutrition;ESPGHAN;hepato-gastro-enterologie;societe savante;https://www.espghan.org/knowledge-center;No;https://www.espghan.org/knowledge-center;No;https://x.com/espghansociety
Groupe Francophone d'Hépato-Gastroentérologie et Nutrition Pédiatriques;GFHGNP;hepato-gastro-enterologie;societe savante;https://www.gfhgnp.org/category/actualites/;https://www.gfhgnp.org/category/actualites/feed/;https://www.gfhgnp.org/category/publications/;No;https://www.facebook.com/p/Gfhgnp-100082521931549/
Société Française de Chirurgie Digestive;SFCD;chirurgie digestive;societe savante;https://www.sfchirurgiedigestive.fr/actualites;No;No;No;
Société Nationale Française de Colo-Proctologie;SNFCP;hepato-gastro-enterologie;societe savante;https://www.snfcp.org/actualites;https://www.snfcp.org/feed/;https://www.snfcp.org/recommandations/;https://www.snfcp.org/recommandations/feed/;
Institut Pasteur;Pasteur;infectiologie;officiel;https://www.pasteur.fr/fr/recherche-actualites;No;https://www.pasteur.fr/fr/dossiers-jdr;No;https://x.com/institutpasteur
Société de Pathologie Infectieuse de Langue Française;No;infectiologie;societe savante;https://www.infectiologie.com;No;https://www.infectiologie.com/fr/recommandations.html;No;https://x.com/spilf_
Société Française de Parasitologie;SFP;infectiologie;societe savante;https://sfparasitologie.com;https://sfparasitologie.com//feed;No;No;https://x.com/SFParasitologie
Société de Médecine des Voyages;SMV;infectiologie;societe savante;https://www.medecine-voyages.fr;No;https://www.medecine-voyages.fr/les-articles-et-fiches-guides/;No;
Société de Pathologie Exotique;SPE;infectiologie;societe savante;;;;;
Société Française de Lutte contre le SIDA;SFLS;infectiologie;societe savante;https://sfls.fr/;No;No;No;https://x.com/sfls_vih
Société Française de Mycologie Médicale;SFMM;infectiologie;societe savante;https://sfmm-mycologie-medicale.com;https://sfmm-mycologie-medicale.com//feed;https://sfmm-mycologie-medicale.com/ouvrages-collectifs-referentiels/;No;https://x.com/sfmm_myco
British Association for Sexual Health and HIV;BASHH;infectiologie;societe savante;https://www.bashh.org/news/news/;No;https://www.bashh.org/guidelines;No;https://x.com/BASHH_UK
Institut National du Cancer;INCa;cancerologie;officiel;https://www.e-cancer.fr/Actualites-et-evenements/Actualites;https://www.e-cancer.fr/rss/feed/actualites;https://www.e-cancer.fr/Expertises-et-publications/Catalogue-des-publications;https://www.e-cancer.fr/rss/feed/cataloguedespublicationsINCa;https://x.com/Institut_cancer
Fédération Francophone de Cancérologie Digestive;FFCD;cancerologie;societe savante;https://www.ffcd.fr;No;https://www.ffcd.fr/index.php/documentation/publications;No;https://x.com/ffcd_cancerdig
Société Française du Cancer;SFC;cancerologie;societe savante;https://sfc.asso.fr/informer/consulter-nos-newsletters/;https://sfc.asso.fr/feed/;No;No;https://x.com/SFCancer75/
Le Bulletin du Cancer;Le Bulletin du Cancer;cancerologie;revue;No;No;https://sfc.asso.fr/informer/le-bulletin-du-cancer/;No;No
Société Française de Cancérologie Privée;SFCP;cancerologie;societe savante;https://www.sfcp-cancer.com/category/actualites-evenements-emplois;https://www.sfcp-cancer.com/feed;No;No;https://x.com/SFCPoCANCER
Société Française de Radiothérapie Oncologique;SFRO;cancerologie;societe savante;https://www.sfro.fr;No;https://www.sfro.fr/ressources/livrets-sfro;No;https://x.com/sfro_fr
European Association for Cancer Research;EACR;cancerologie;societe savante;No;No;https://www.eacr.org/login.php?referrer=%2Fmembers%2Findex.php;No;https://x.com/EACRnews
European Society for Medical Oncology;ESMO;cancerologie;societe savante;https://www.esmo.org/oncology-news;No;https://www.esmo.org/guidelines;No;https://x.com/myESMO
American Society of Clinical Oncology;ASCO;cancerologie;societe savante;No;No;https://aacrjournals.org/pages/hot-topics;No;https://x.com/ASCO
American Association for Cancer Research;AACR;cancerologie;societe savante;https://www.aacr.org/professionals/blog/;https://www.aacr.org/feed/rss/;https://aacrjournals.org;No;https://x.com/AACR
European Cancer Organisation;ECCO;cancerologie;societe savante;https://www.europeancancer.org/resources#news;No;No;No;https://x.com/EuropeanCancer
