"Principe actif";"Forme galénique";"Classe ATC";"Libellé ATC3";"Libellé ATC4";"Goût";"Modalités de préparation";"Source des modalités";"Autre source";"Méthode d'administration si médicament écrasé, ouvert ou délité";"Alternatives galéniques";"Informations RCP, notice patient et Thériaque";"Réponses laboratoires résumées";"Date de màj";
"ABACAVIR / DOLUTEGRAVIR / LAMIVUDINE 600/50/300 mg (Triumeq)";"Comprimé";"J05AR13";"Antiviraux à action directe";"Antiviraux pour le traitement des infections au VIH en association";;"NE";"Notice patient";"Ecrasable selon HUG 03/2023";;"Abacavir et Lamivudine solutions buvables, Dolutégravir comprimés dispersibles
? Adaptation posologique ?";"La biodisponibilité des comprimés dispersibles de Dolutegravir est 1,6 fois supérieure à celle des comprimés pelliculés.";;"18/04/2023";
"ABACAVIR / LAMIVUDINE / ZIDOVUDINE 300/150/300 mg (Trizivir)";"Comprimé ";"J05AR04";"Antiviraux à action directe";"Antiviraux pour le traitement des infections au VIH en association";;"NE";"Notice patient";"Ecrasable selon HUG 03/2023";;"Solutions buvables";"A prendre de préférence au coucher.";"GSK 20-03-2023 : écrasement déconseillé car pas d'étude";"18/04/2023";
"ABACAVIR / LAMIVUDINE 600/300 mg (Kivexa)";"Comprimé";"J05AR02";"Antiviraux à action directe";"Antiviraux pour le traitement des infections au VIH en association";;"NE";"Notice patient";;;"Solutions buvables";;"GSK 20-03-2023 : écrasement déconseillé car pas d'étude";"18/04/2023";
"ABACAVIR 300 mg (Ziagen)";"Comprimé";"J05AF06";"Antiviraux à action directe";"Inhibiteurs de la transcriptase inverse nucléosidique et nucléotidique";;"E";"Notice patient";"Ecrasable selon HUG 03/2023";"E, J, L, C, Y, V";"Solution buvable";"Mélangeable à une petite quantité de nourriture ou de liquide. Administration immédiate.";;"18/04/2023";
"ABEMACICLIB 50, 100 et 150mg (Verzenios)";"Comprimé";"L01EF03";"Autres antinéoplasiques";"Inhibiteurs de protéine kinase";"G";"NE";"RCP";"Dispersible selon le laboratoire";"E, V, ";"Non";"A prendre à heure fixe. Eviter le jus de pamplemousse.";"LILLY 15-05-2024 : peut être dispersé (sans l'écraser) dans 10mL d'eau, boire l'entièreté du verre dans les 10min, rincer et boire l'eau de rinçage tant qu'il reste des résidus sur la paroi. ";"16/05/2024";
"ACAMPROSATE 333 mg (Aotal)";"Comprimé GR";"N07BB03";"Médicaments des troubles de l'addiction";"Médicaments utilisés en cas de dépendance à l'alcool";;"NE";"Notice patient";;;"Non";"A prendre de préférence en dehors des repas si bonne tolérance digestive.";;"18/04/2023";
"ACARBOSE 50 et 100 mg (Glucor)";"Comprimé ou comprimé sécable";"A10BF01";"Hypoglycémiants autres que les insulines";"Inhibiteurs de l'?-glucosidase";;"E";"RCP";;"E";"Non";"Doit être avalé avec un peu d'eau ou croqué. A prendre au début des repas.";;"18/04/2023";
"ACEBUTOLOL 200 et 400 mg (Sectral)";"Comprimé";"C07AB04";"Bêta-bloquants";"Bêta-bloquants sélectifs";"G";"NE";"Notice patient";;;"Solution buvable";;;"18/04/2023";
"ACEBUTOLOL LP 500 mg (Sectral LP)";"Comprimé LP";"C07AB04";"Bêta-bloquants";"Bêta-bloquants sélectifs";"G";"NE";"RCP";;;"? Non LP ?
Solution buvable";;;"18/04/2023";
"ACENOCOUMAROL 1 et 4 mg (Mini-sintrom, Sintrom)";"Comprimé sécable";"B01AA07";"Antithrombotiques";"Antivitamines K";;"NE";"RCP";"Ecrasable selon HUG 03/2023";;"Non";"A prendre à heure fixe, de préférence le soir.";;"18/04/2023";
"ACETAZOLAMIDE 250 mg (Diamox)";"Comprimé sécable";"S01EC01";"Antiglaucomateux et myotiques";"Inhibiteurs de l'anhydrase carbonique";"G";"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Non";"A prendre de préférence pendant les repas pour masquer l'amertume.";"Cooper 22-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"ACETYLLEUCINE 500 mg (Tanganil)";"Comprimé";"N07CA04";"Antivertigineux";"Antivertigineux";;"NE";"Réponse laboratoire";;;"Non";;"Pierre Fabre 21-02-2022 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"ACICLOVIR 200 et 800 mg (Zovirax)";"Comprimé";"J05AB01";"Antiviraux à action directe";"Nucléosides et nucléotides sauf inhibiteurs de la transcriptase inverse ";;"NE";"Notice patient";"Ecrasable selon HUG 03/2023";;"Suspension buvable";;;"18/04/2023";
"ACIDE ALENDRONIQUE / CHOLECALCIFEROL 70/2800 et 70/5600 UI (Fosavance)";"Comprimé";"M05BB03";"Médicaments affectant la structure et la mineralisation osseuse";"Biphosphonates en associations";;"NE";"RCP";;;"Acide alendronique comprimé effervescent + Cholecalciferol buvable";"PA très irritant (risque d'ulcération). A prendre avec un grand verre d'eau (? 200 mL) peu minéralisée le matin à jeun. Patienter ensuite ? 30 min avant de manger, boire, s’allonger ou prendre d’autres médicaments.";;"18/04/2023";
"ACIDE ALENDRONIQUE 10 et 70 mg (Fosamax)";"Comprimé";"M05BA04";"Médicaments affectant la structure et la mineralisation osseuse";"Biphosphonates";;"NE";"RCP";;;"Comprimés effervescents";"PA très irritant (risque d'ulcération). A prendre avec un grand verre d'eau (? 200 mL) peu minéralisée le matin à jeun. Patienter ensuite ? 30 min avant de manger, boire, s’allonger ou prendre d’autres médicaments.";;"18/04/2023";
"ACIDE CLODRONIQUE 520 et 800 mg (Clastoban, Lytos)";"Comprimé";"M05BA02";"Médicaments affectant la structure et la mineralisation osseuse";"Biphosphonates";;"NE";"RCP";;;"Non";"PA très irritant. A prendre avec un grand verre d'eau (? 200 mL) peu minéralisée le matin à jeun (et ? 2h après un repas si 2ème prise journalière). Ne pas manger, boire ni trop bouger jusqu’à 1h après la prise.";;"18/04/2023";
"ACIDE FOLINIQUE 5 et 25 mg (Folinoral)";"Gélule";"V03AF03";"Tous autres médicaments";"Médicaments détoxifiants dans un traitement cytostatique";;"O";"Réponse laboratoire";;"E, J, L, C, Y";"Non";;"Therabel 25-02-2022 : possibilité d'ouvrir la gélule et de mélanger le contenu avec de la nourriture ou une boisson.";"18/04/2023";
"ACIDE FOLINIQUE 5, 15 et 25 mg (Lederfoline)";"Comprimé sécable";"V03AF03";"Tous autres médicaments";"Médicaments détoxifiants dans un traitement cytostatique";;"NE";"Réponse laboratoire";;;"Non";;"Pfizer 14-03-2023 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"ACIDE FOLIQUE 0,4 et 5 mg (Speciafoldine)";"Comprimé";"B03BB01";"Vitamine B12 et acide folique";"Acide folique et dérivés";;"NE";"Réponse laboratoire";;;"Non";;"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"ACIDE FUSIDIQUE 250 mg (Fucidine)";"Comprimé";"J01XC01";"Autres antibactériens";"Antibactériens stéroïdiens";"G";"E";"Réponse laboratoire";;"E, J, V";"Suspension buvable";;"Leo pharma 14-02-2022 : écrasement possible si administration immédiate mais goût amer. Peut être pris avec un liquide sucré. Ne pas prendre avec du lait.";"18/04/2023";
"ACIDE MEFENAMIQUE 250 mg (Ponstyl)";"Gélule";"M01AG01";"Anti-inflammatoires et anti-rhumatismaux non stéroïdiens";"Fénamates";;"NO";"RCP";;;"Non";"A prendre pendant les repas.";"Pfizer 14-03-2023 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"ACIDE NIFLUMIQUE 250 mg (Nifluril)";"Gélule";"M01AX02";"Anti-inflammatoires et anti-rhumatismaux non stéroïdiens";"Autres anti-inflammatoires antirhumatismaux non stéroïdiens";;"NO";"RCP";;;"Suppositoires";"A prendre pendant les repas.";;"18/04/2023";
"ACIDE PARA-AMINOSALICYLIQUE 4 g (Granupas)";"Granulés GR";"J04AA01";"Antituberculeux";"Acide aminosalicylique et dérivés";;"NE";"RCP";;"E, J, L, C, Y";"Non";"Peut être mélangé à un jus d'orange ou de tomate, de la compote ou un yaourt, tant que les granulés restent intacts.";;"18/04/2023";
"ACIDE RISEDRONIQUE 5, 30, 35 et 75 mg (Actonel)";"Comprimé";"M05BA07";"Médicaments affectant la structure et la mineralisation osseuse";"Biphosphonates";;"NE";"RCP";;;"Non";"PA très irritant (risque d'ulcération). A prendre avec un grand verre d'eau (? 200 mL) peu minéralisée le matin à jeun. Patienter ensuite ? 30 min avant de manger, boire, s’allonger ou prendre d’autres médicaments.";"Theramex 17-02-2022 : cf RCP";"18/04/2023";
